"","FIPS","State","County","PopDensity2010","Households","Pop2010","PCI","MetroNonMetro"
"1",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro"
"2",1003,"AL","Baldwin",114.65,78622,182265,31203,"Metro"
"3",1005,"AL","Barbour",31.03,9186,27457,18461,"Nonmetro"
"4",1007,"AL","Bibb",36.81,6840,22915,20199,"Metro"
"5",1009,"AL","Blount",88.9,20600,57322,22656,"Metro"
"6",1011,"AL","Bullock",17.52,3609,10914,20346,"Nonmetro"
"7",1013,"AL","Butler",26.96,6708,20947,20430,"Nonmetro"
"8",1015,"AL","Calhoun",195.71,45033,118572,24706,"Metro"
"9",1017,"AL","Chambers",57.36,13516,34215,22827,"Nonmetro"
"10",1019,"AL","Cherokee",46.94,10606,25989,23356,"Nonmetro"
"11",1021,"AL","Chilton",62.99,16751,43643,24611,"Metro"
"12",1023,"AL","Choctaw",15.17,5350,13859,22182,"Nonmetro"
"13",1025,"AL","Clarke",20.86,9358,25833,21111,"Nonmetro"
"14",1027,"AL","Clay",23.07,5236,13932,23147,"Nonmetro"
"15",1029,"AL","Cleburne",26.73,5726,14972,21989,"Nonmetro"
"16",1031,"AL","Coffee",73.56,19789,49948,27577,"Nonmetro"
"17",1033,"AL","Colbert",91.84,21799,54428,24918,"Metro"
"18",1035,"AL","Conecuh",15.56,4574,13228,17542,"Nonmetro"
"19",1037,"AL","Coosa",17.73,4103,11539,22963,"Nonmetro"
"20",1039,"AL","Covington",36.65,15008,37765,23071,"Nonmetro"
"21",1041,"AL","Crenshaw",22.84,5025,13906,23353,"Nonmetro"
"22",1043,"AL","Cullman",109.42,30730,80406,22980,"Nonmetro"
"23",1045,"AL","Dale",89.55,18670,50251,23837,"Nonmetro"
"24",1047,"AL","Dallas",44.77,16336,43820,18910,"Nonmetro"
"25",1049,"AL","DeKalb",91.51,26132,71109,21004,"Nonmetro"
"26",1051,"AL","Elmore",128.22,29143,79303,27475,"Metro"
"27",1053,"AL","Escambia",40.55,13428,38319,18161,"Nonmetro"
"28",1055,"AL","Etowah",195.2,38777,104430,24065,"Metro"
"29",1057,"AL","Fayette",27.47,6947,17241,21862,"Nonmetro"
"30",1059,"AL","Franklin",50.02,11210,31704,19776,"Nonmetro"
"31",1061,"AL","Geneva",46.64,10479,26790,20471,"Metro"
"32",1063,"AL","Greene",13.98,2955,9045,14209,"Nonmetro"
"33",1065,"AL","Hale",24.47,5658,15760,20272,"Metro"
"34",1067,"AL","Henry",30.8,6669,17302,24069,"Metro"
