"","FIPS","State","County","PopDensity2010","Households","Pop2010","PCI","MetroNonMetro","Date","Cases","Deaths","DateAsInteger","Impact"
"1",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-03-28,6,0,18349,"Low"
"2",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-03-27,6,0,18348,"Low"
"3",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-09,17,1,18361,"Low"
"4",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-05,12,0,18357,"Low"
"5",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-03-30,7,0,18351,"Low"
"6",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-03-26,6,0,18347,"Low"
"7",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-10,17,1,18362,"Low"
"8",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-03-29,6,0,18350,"Low"
"9",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-01,10,0,18353,"Low"
"10",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-03-31,7,0,18352,"Low"
"11",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-04,12,0,18356,"Low"
"12",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-03,12,0,18355,"Low"
"13",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-07,12,1,18359,"Low"
"14",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-11,19,1,18363,"Low"
"15",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-15,25,1,18367,"Low"
"16",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-14,23,1,18366,"Low"
"17",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-17,26,2,18369,"Low"
"18",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-23,33,2,18375,"Low"
"19",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-16,25,2,18368,"Low"
"20",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-06,12,1,18358,"Low"
"21",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-02,10,0,18354,"Low"
"22",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-08,12,1,18360,"Low"
"23",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-22,32,2,18374,"Low"
"24",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-12,19,1,18364,"Low"
"25",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-18,25,2,18370,"Low"
"26",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-21,30,1,18373,"Low"
"27",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-19,27,2,18371,"Low"
"28",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-20,28,1,18372,"Low"
"29",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-13,19,1,18365,"Low"
"30",1001,"AL","Autauga",91.8,21115,54571,29372,"Metro",2020-04-24,36,2,18376,"Low"
"31",1003,"AL","Baldwin",114.65,78622,182265,31203,"Metro",2020-03-28,10,0,18349,"Low"
"32",1003,"AL","Baldwin",114.65,78622,182265,31203,"Metro",2020-04-05,34,1,18357,"Low"
"33",1003,"AL","Baldwin",114.65,78622,182265,31203,"Metro",2020-04-20,117,3,18372,"Low"
"34",1003,"AL","Baldwin",114.65,78622,182265,31203,"Metro",2020-04-21,123,3,18373,"Low"
"35",1003,"AL","Baldwin",114.65,78622,182265,31203,"Metro",2020-04-03,28,1,18355,"Low"
"36",1003,"AL","Baldwin",114.65,78622,182265,31203,"Metro",2020-04-02,25,1,18354,"Low"
"37",1003,"AL","Baldwin",114.65,78622,182265,31203,"Metro",2020-04-04,29,1,18356,"Low"
"38",1003,"AL","Baldwin",114.65,78622,182265,31203,"Metro",2020-04-08,49,1,18360,"Low"
"39",1003,"AL","Baldwin",114.65,78622,182265,31203,"Metro",2020-04-10,59,1,18362,"Low"
"40",1003,"AL","Baldwin",114.65,78622,182265,31203,"Metro",2020-04-24,147,3,18376,"Low"
"41",1003,"AL","Baldwin",114.65,78622,182265,31203,"Metro",2020-04-12,71,1,18364,"Low"
"42",1003,"AL","Baldwin",114.65,78622,182265,31203,"Metro",2020-04-23,143,3,18375,"Low"
